,Fear,Surprise,Angry,Sad,Happy
0,0.3394886363636363,0.3338068181818182,0.18607954545454544,0.11079545454545453,0.029829545454545452
1,0.3,0.36999999999999994,0.0,0.11,0.22
2,0.15200000000000002,0.186,0.048,0.526,0.08800000000000001
3,0.42460445592508883,0.16693574426864707,0.021310946076848566,0.27510494026477234,0.1120439134646432
4,0.535,0.265,0.0,0.2,0.0
5,0.3500000000000001,0.17700000000000005,0.021000000000000005,0.444,0.008000000000000002
6,0.24474999999999997,0.5085,0.02,0.19375,0.032999999999999995
7,0.3495183044315992,0.21078998073217728,0.0836223506743738,0.1953757225433526,0.16069364161849709
8,0.3916083916083916,0.38561438561438566,0.0,0.13086913086913088,0.09190809190809192
9,0.20293704108733013,0.4172785502265271,0.0607717544133729,0.24746133416653646,0.0715513201062334
10,0.32631359466221843,0.1665971643035863,0.042743953294411996,0.21684737281067554,0.24749791492910758
11,0.5223363286264442,0.2355584082156611,0.02618741976893453,0.10038510911424903,0.11553273427471115
